YearMonth,TotArrivals
2001M01,336818
2001M02,287719
2001M03,264181
2001M04,271410
2001M05,214684
2001M06,224260
2001M07,295746
2001M08,257382
2001M09,270109
2001M10,288592
2001M11,264907
2001M12,317906
2002M01,345696
2002M02,295485
2002M03,290378
2002M04,257058
2002M05,217025
2002M06,229586
2002M07,300011
2002M08,264913
2002M09,272110
2002M10,316282
2002M11,309391
2002M12,346434
2003M01,367417
2003M02,315934
2003M03,285337
2003M04,260652
2003M05,202090
2003M06,223257
2003M07,299409
2003M08,268521
2003M09,297814
2003M10,328393
2003M11,339175
2003M12,392790
2004M01,412175
2004M02,355943
2004M03,322535
2004M04,325669
2004M05,265625
2004M06,276653
2004M07,377371
2004M08,327786
2004M09,344814
2004M10,375855
2004M11,361237
2004M12,421215
2005M01,446255
2005M02,374646
2005M03,363880
2005M04,325378
2005M05,286921
2005M06,309237
2005M07,385556
2005M08,337439
2005M09,337712
2005M10,401739
2005M11,354356
2005M12,418553
2006M01,451183
2006M02,390180
2006M03,343830
2006M04,349631
2006M05,280173
2006M06,290726
2006M07,387680
2006M08,326903
2006M09,351239
2006M10,402305
2006M11,378154
2006M12,429581
2007M01,450289
2007M02,399183
2007M03,367374
2007M04,355376
2007M05,298372
2007M06,313275
2007M07,402580
2007M08,346960
2007M09,363112
2007M10,408908
2007M11,388904
2007M12,437456
2008M01,463169
2008M02,424214
2008M03,390569
2008M04,318112
2008M05,314016
2008M06,317830
2008M07,392112
2008M08,353851
2008M09,339309
2008M10,398403
2008M11,378382
2008M12,440797
2009M01,445596
2009M02,388845
2009M03,356051
2009M04,351099
2009M05,292747
2009M06,298267
2009M07,390574
2009M08,352851
2009M09,354626
2009M10,410123
2009M11,381710
2009M12,457950
2010M01,458584
2010M02,400061
2010M03,377540
2010M04,351083
2010M05,298383
2010M06,315185
2010M07,410277
2010M08,366169
2010M09,365821
2010M10,424269
2010M11,388676
2010M12,474265
2011M01,482228
2011M02,407051
2011M03,353730
2011M04,360865
2011M05,325144
2011M06,305399
2011M07,411612
2011M08,397013
2011M09,403021
2011M10,427738
2011M11,403871
2011M12,498491
2012M01,499839
2012M02,413759
2012M03,384067
2012M04,379481
2012M05,304525
2012M06,330598
2012M07,428034
2012M08,375075
2012M09,383868
2012M10,429723
2012M11,401056
2012M12,499557
2013M01,492892
2013M02,422087
2013M03,418686
2013M04,368141
2013M05,341127
2013M06,347852
2013M07,433139
2013M08,408237
2013M09,406129
2013M10,444922
2013M11,428789
2013M12,525188
2014M01,530889
2014M02,455221
2014M03,414379
2014M04,396452
2014M05,364532
2014M06,359330
2014M07,454488
2014M08,415153
2014M09,413121
2014M10,475276
2014M11,463000
2014M12,547770
2015M01,561684
2015M02,498457
2015M03,464311
2015M04,444456
2015M05,373438
2015M06,386362
2015M07,486051
2015M08,445421
2015M09,447314
2015M10,512048
2015M11,504126
2015M12,599095
2016M01,619488
2016M02,546042
2016M03,518524
2016M04,459187
2016M05,416186
2016M06,419008
2016M07,535581
2016M08,478716
2016M09,497169
2016M10,566748
2016M11,550818
2016M12,660974
2017M01,683831
2017M02,578374
2017M03,533162
2017M04,541848
2017M05,437948
2017M06,464056
2017M07,571279
2017M08,502633
2017M09,522903
2017M10,602186
2017M11,585697
2017M12,691125
2018M01,710957
2018M02,613052
2018M03,581433
2018M04,528093
2018M05,461888
2018M06,465410
2018M07,607522
2018M08,541576
2018M09,547787
2018M10,620678
2018M11,616941
2018M12,709897
2019M01,732396
2019M02,619551
